uid	new_split	dataset	original_split	doc_id	sent_id	sentence	marked_sentence	source	target	trigger	arguments	event_type	gold_binary
2	train	ace	train	2963	13	In the latest edition, staff writer Jeremy M. Lazarus reports that the Legislative Black Caucus celebrated killing a bill that would have merged the Department of Minority Business Enterprise (DMBE) with the Department of Business Assistance (DBA).	In the latest edition, staff writer Jeremy M. Lazarus reports that the Legislative Black Caucus celebrated killing a bill that would have merged <s>the Department of Minority Business Enterprise (DMBE)</s> with <t>the Department of Business Assistance (DBA)</t>.	Org:the Department of Minority Business Enterprise (DMBE)	Org:the Department of Business Assistance (DBA)	merged	{'Org': ['the Department of Minority Business Enterprise (DMBE)', 'the Department of Business Assistance (DBA)']}	Business:Merge-Org	1
4	train	ace	train	684	17	but a toymaker and one man's dream have put the silver cross pram back on the stroller circuit.	but <s>a toymaker</s> and one man's dream have put the <t>silver cross</t> pram back on the stroller circuit.	Agent:a toymaker	Org:silver cross	back	{'Org': ['silver cross'], 'Agent': ['a toymaker', 'one man']}	Business:Start-Org	0
5	train	ace	train	684	17	but a toymaker and one man's dream have put the silver cross pram back on the stroller circuit.	but a toymaker and <s>one man</s>'s dream have put the <t>silver cross</t> pram back on the stroller circuit.	Agent:one man	Org:silver cross	back	{'Org': ['silver cross'], 'Agent': ['a toymaker', 'one man']}	Business:Start-Org	0
6	train	ace	train	2185	21	Six European countries have agreed to contribute troops to the British and Polish sectors to create an international stability force, the official said.	Six European countries have agreed to contribute troops to <s>the British and Polish sectors</s> to create <t>an international stability force</t>, the official said.	Agent:the British and Polish sectors	Org:an international stability force	create	{'Org': ['an international stability force'], 'Agent': ['Six European countries', 'the British and Polish sectors']}	Business:Start-Org	0
7	train	ace	train	2185	21	Six European countries have agreed to contribute troops to the British and Polish sectors to create an international stability force, the official said.	<s>Six European countries</s> have agreed to contribute troops to the British and Polish sectors to create <t>an international stability force</t>, the official said.	Agent:Six European countries	Org:an international stability force	create	{'Org': ['an international stability force'], 'Agent': ['Six European countries', 'the British and Polish sectors']}	Business:Start-Org	0
8	train	ace	test	3763	20	Major US insurance group AIG is in the final stage of talks to take over General Electric's Japanese life insurance arm in a deal to create Japan's sixth largest life insurer, reports said Wednesday.	<s>Major US insurance group AIG</s> is in the final stage of talks to take over General Electric's Japanese life insurance arm in a deal to create <t>Japan</t>'s sixth largest life insurer, reports said Wednesday.	Agent:Major US insurance group AIG	Place:Japan	create	{'Org': ["Japan's sixth largest life insurer"], 'Place': ['Japan'], 'Agent': ['Major US insurance group AIG']}	Business:Start-Org	0
11	train	ace	test	3663	22	The Daily Planet Ltd, about to become the first brothel to list on the Australian Stock Exchange, plans to follow up its May Day launching by opening a "sex Disneyland" here, the Melbourne-based bordello announced Wednesday.	<s>The Daily Planet Ltd, about to become the first brothel to list on the Australian Stock Exchange</s>, plans to follow up its May Day launching by opening <t>a "sex Disneyland</t>" here, the Melbourne-based bordello announced Wednesday.	Agent:The Daily Planet Ltd, about to become the first brothel to list on the Australian Stock Exchange	Org:a "sex Disneyland	opening	{'Org': ['a "sex Disneyland'], 'Agent': ['The Daily Planet Ltd, about to become the first brothel to list on the Australian Stock Exchange'], 'Place': ['here']}	Business:Start-Org	0
21	train	ace	train	1869	102	Coalition airstrikes have been hitting Iraqi military forces and other strategic targets in the north.	<s>Coalition</s> airstrikes have been hitting Iraqi military forces and other strategic targets in <t>the north</t>.	Attacker:Coalition	Place:the north	airstrikes	{'Target': ['Iraqi military forces'], 'Attacker': ['Coalition'], 'Place': ['the north']}	Conflict:Attack	1
22	train	ace	train	1869	102	Coalition airstrikes have been hitting Iraqi military forces and other strategic targets in the north.	<s>Coalition</s> airstrikes have been hitting <t>Iraqi military forces</t> and other strategic targets in the north.	Attacker:Coalition	Target:Iraqi military forces	airstrikes	{'Target': ['Iraqi military forces'], 'Attacker': ['Coalition'], 'Place': ['the north']}	Conflict:Attack	1
23	train	ace	train	2390	208	The US-led coalition forces launched a new round of airstrikes on Baghdad at 2:30 p.m. (1130GMT) on Monday.	<s>The US-led coalition forces</s> launched a new round of airstrikes on <t>Baghdad</t> at 2:30 p.m. (1130GMT) on Monday.	Attacker:The US-led coalition forces	Place:Baghdad	airstrikes	{'Attacker': ['The US-led coalition forces'], 'Place': ['Baghdad']}	Conflict:Attack	1
25	train	ace	train	331	189	The forces encountered limited resistance along the way and are now poised for the final assault not far from the edge of the city.	<s>The forces</s> encountered limited resistance along the way and are now poised for the final assault not far from <t>the edge of the city</t>.	Attacker:The forces	Place:the edge of the city	assault	{'Attacker': ['The forces'], 'Place': ['the edge of the city']}	Conflict:Attack	1
30	train	ace	train	293	82	And to the south, British forces continue their attack on targets around Basra.	And to the south, <s>British forces</s> continue their attack on targets around <t>Basra</t>.	Attacker:British forces	Place:Basra	attack	{'Attacker': ['British forces'], 'Place': ['Basra']}	Conflict:Attack	1
31	train	ace	train	412	195	The Iraqis promise an unconventional attack on U.S. troops tonight.	<s>The Iraqis</s> promise an unconventional attack on <t>U.S. troops</t> tonight.	Attacker:The Iraqis	Target:U.S. troops	attack	{'Target': ['U.S. troops'], 'Attacker': ['The Iraqis']}	Conflict:Attack	1
37	train	ace	train	2166	133	In interviews last year, Giuliani said Nathan gave him ``tremendous emotional support'' through his treatment for prostate cancer and as he led the city during the aftermath of the Sept. 11 terrorist attack on the World Trade Center.	In interviews last year, Giuliani said Nathan gave him ``tremendous emotional support'' through his treatment for prostate cancer and as he led the city during the aftermath of the Sept. 11 <s>terrorist</s> attack on <t>the World Trade Center</t>.	Attacker:terrorist	Target:the World Trade Center	attack	{'Attacker': ['terrorist'], 'Place': ['the city'], 'Target': ['the World Trade Center']}	Conflict:Attack	1
38	train	ace	train	2420	142	Israeli authorities have claimed Sharif, 27, from Derby, was on the run after failing to blow himself up in the attack on a Tel Aviv bar.	Israeli authorities have claimed <s>Sharif, 27, from Derby</s>, was on the run after failing to blow himself up in the attack on <t>a Tel Aviv bar</t>.	Attacker:Sharif, 27, from Derby	Target:a Tel Aviv bar	attack	{'Attacker': ['Sharif, 27, from Derby'], 'Place': ['Tel Aviv'], 'Target': ['a Tel Aviv bar']}	Conflict:Attack	1
39	train	ace	train	2420	142	Israeli authorities have claimed Sharif, 27, from Derby, was on the run after failing to blow himself up in the attack on a Tel Aviv bar.	Israeli authorities have claimed <s>Sharif, 27, from Derby</s>, was on the run after failing to blow himself up in the attack on a <t>Tel Aviv</t> bar.	Attacker:Sharif, 27, from Derby	Place:Tel Aviv	attack	{'Attacker': ['Sharif, 27, from Derby'], 'Place': ['Tel Aviv'], 'Target': ['a Tel Aviv bar']}	Conflict:Attack	1
