	sentence_id	sentence	marked_sentence	source	target	gold_penta	silver_penta	silver_root	gold_root	penta_L1	root_L1	penta_L2	root_L2	prompt_L2	prompt_L1	modality_L2
	4	Iranian Foreign Minister Mohammad Javad Zarif has condemned a U.S. Supreme Court decision to partially reinstate President Donald Trump's temporary ban on travelers from six predominantly Muslim countries.	<s>Iranian Foreign Minister Mohammad Javad Zarif</s> has condemned <t>a U.S. Supreme Court decision</t> to partially reinstate President Donald Trump's temporary ban on travelers from six predominantly Muslim countries.	Iranian Foreign Minister Mohammad Javad Zarif	a U.S. Supreme Court decision	3	3	ACCUSE	ACCUSE	3	ACCUSE	4	COERCE	['<S> repressed person of <T>']	['<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> investigated something of <T>', '<S> repressed person of <T>']	past
	8	SAN FRANCISCO - The American Civil Liberties Union is suing the FBI for records to find out more about a divisive 2017 report on the rise of black extremists following the shooting deaths of African-Americans.	SAN FRANCISCO - <s>The American Civil Liberties Union</s> is suing the <t>FBI</t> for records to find out more about a divisive 2017 report on the rise of black extremists following the shooting deaths of African-Americans.	The American Civil Liberties Union	FBI	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> brought lawsuit against <T>', '<S> demanded something from <T>', '<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> investigated something of <T>']	['<S> brought lawsuit against <T>', '<S> demanded something from <T>', '<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> investigated something of <T>']	past
	19	On 4 October 2007, the Munich I Regional Court convicted Siemens to pay a fine of 201 million EUR for bribes paid abroad by its telecommunications subsidiary	On 4 October 2007, <s>the Munich I Regional Court</s> convicted <t>Siemens</t> to pay a fine of 201 million EUR for bribes paid abroad by its telecommunications subsidiary	the Munich I Regional Court	Siemens	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> investigated something of <T>', '<S> demanded something from <T>']	['<S> accused <T> of something', '<S> investigated something of <T>', '<S> demanded something from <T>']	past
	24	The ACLU on March 28 filed a lawsuit in the United States South Dakota District Court against Thom.	<s>The ACLU</s> on March 28 filed a lawsuit in the United States South Dakota District Court against <t>Thom</t>.	The ACLU	Thom	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> brought lawsuit against <T>']	['<S> brought lawsuit against <T>']	past
	29	Ukraine accuses Russia of sending the tanks, training and fighting alongside the separatists.	<s>Ukraine</s> accuses <t>Russia</t> of sending the tanks, training and fighting alongside the separatists.	Ukraine	Russia	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> investigated something of <T>']	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> investigated something of <T>']	past
	58	The Senate President's aide faulted Buhari's decision to allow Tinubu run his re-election campaign.	<s>The Senate President's aide</s> faulted <t>Buhari</t>'s decision to allow Tinubu run his re-election campaign.	The Senate President's aide	Buhari	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> investigated something of <T>']	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> investigated something of <T>']	past
	71	The Tis Hazari court in New Delhi has ordered an investigation against Oommen Chandy over this allegation based on a petition.	<s>The Tis Hazari court in New Delhi</s> has ordered an investigation against <t>Oommen Chandy</t> over this allegation based on a petition.	The Tis Hazari court in New Delhi	Oommen Chandy	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>', '<S> accused <T> of something']	['<S> investigated something of <T>', '<S> accused <T> of something']	past
	72	France has sent seven military experts to Saudi Arabia to investigate this weekend's attacks on their oil facilities, including specialists in explosives, missile trajectory and ground-to-air defense systems, a defense ministry spokeswoman said on Thursday.	<s>France</s> has sent seven military experts to <t>Saudi Arabia</t> to investigate this weekend's attacks on their oil facilities, including specialists in explosives, missile trajectory and ground-to-air defense systems, a defense ministry spokeswoman said on Thursday.	France	Saudi Arabia	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> sent people to investigate <T>', '<S> investigated something of <T>']	['<S> sent people to investigate <T>', '<S> investigated something of <T>']	past
	94	The NGO has denounced 49 journalist detentions in Venezuela so far this year, with 12 taking place in January and 27 in February.	<s>The NGO</s> has denounced <t>49 journalist detentions in Venezuela</t> so far this year, with 12 taking place in January and 27 in February.	The NGO	49 journalist detentions in Venezuela	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> investigated something of <T>', '<S> kept alert in <T>', '<S> rejected to yield to <T>', '<S> met with <T>']	['<S> expressed complaints of <T>', '<S> investigated something of <T>', '<S> kept alert in <T>', '<S> rejected to yield to <T>', '<S> met with <T>']	past
	95	Turkish President Recep Tayyip Erdogan on Wednesday blamed the Syrian government for a suspected chemical weapons attack that killed dozens of people including children, calling President Bashar al-Assad a murderer	<s>Turkish President Recep Tayyip Erdogan</s> on Wednesday blamed <t>the Syrian government</t> for a suspected chemical weapons attack that killed dozens of people including children, calling President Bashar al-Assad a murderer	Turkish President Recep Tayyip Erdogan	the Syrian government	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> investigated something of <T>']	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> investigated something of <T>']	past
