rootcode	pentacode	past	future	neg_past	neg_future
AGREE	1	AGREE	AGREE	REJECT	REJECT
CONSULT	1	CONSULT	AGREE	REJECT	REJECT
SUPPORT	1	SUPPORT	AGREE	REJECT	REJECT
COOPERATE	2	COOPERATE	AGREE	SANCTION	REJECT
AID	2	AID	AGREE	SANCTION	REJECT
YIELD	2	YIELD	AGREE	SANCTION	REJECT
INVESTIGATE	3	INVESTIGATE	INVESTIGATE	AGREE	AGREE
ACCUSE	3	ACCUSE	ACCUSE	AGREE	AGREE
REQUEST	3	REQUEST	DEMAND	AGREE	AGREE
REJECT	3	REJECT	REJECT	AGREE	AGREE
THREATEN	3	THREATEN	THREATEN	AGREE	AGREE
PROTEST	4	PROTEST	THREATEN	YIELD	AGREE
MOBILIZE	4	MOBILIZE	THREATEN	YIELD	AGREE
SANCTION	4	SANCTION	THREATEN	YIELD	AGREE
COERCE	4	COERCE	THREATEN	YIELD	AGREE
ASSAULT	4	ASSAULT	THREATEN	YIELD	AGREE
FIGHT	4	FIGHT	THREATEN	YIELD	AGREE
